t_s,x_m,y_m,v_r_mps
0.000000000000000000e+00,-1.532088886237955805e+01,1.285575219373079037e+01,-8.715574274765804930e-01
2.000000000000000111e-01,-1.390667530000646224e+01,1.426996575610388618e+01,1.289224868401541713e-01
4.000000000000000222e-01,-1.249246173763336820e+01,1.568417931847698021e+01,1.125554893460298800e+00
5.999999999999999778e-01,-1.107824817526027417e+01,1.709839288085007425e+01,2.089414753983886985e+00
8.000000000000000444e-01,-9.664034612887178355e+00,1.851260644322317006e+01,2.996126042272429402e+00
